X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.2.sorted.bam
ELOA-AS1	444	706	358	330	635	571	324	284
PITHD1	1170	1621	1079	1025	1925	1698	772	809
LOC105376860	1	7	1	6	2	8	1	3
LYPLA2	1516	2465	1565	1679	2793	2641	1220	1370
GALE	518	666	514	636	1072	979	484	427
HMGCL	1692	2468	1227	1042	2194	1755	1042	929
LOC105376861	5	12	2	0	3	7	3	4
FUCA1	763	1228	794	761	1373	1361	765	590
CNR2	3597	5306	3004	2907	5745	5276	2523	2320
LOC107984929	28	40	24	22	45	36	22	29
MIR378F	0	0	0	0	0	1	0	0
PNRC2	7062	9491	5227	5105	9695	8097	4338	3588
SRSF10	6403	7943	6270	5659	11426	9357	4988	3989
LOC105378615	0	0	0	0	0	0	0	0
LOC105376863	0	0	0	0	1	0	0	2
LOC107984931	0	0	0	0	0	0	2	0
MYOM3	9	7	2	1	17	7	3	12
MYOM3-AS1	0	0	0	0	0	1	0	0
LOC105376864	0	0	0	0	0	0	0	0
IL22RA1	0	0	1	2	1	1	0	3
IFNLR1	1106	1576	1029	980	1812	1579	795	717
LINC02800	12	12	5	5	9	11	2	2
GRHL3-AS1	22	12	2	6	21	19	5	11
GRHL3	13	16	13	9	28	31	17	9
STPG1	144	180	108	101	152	160	103	89
NIPAL3	1453	2142	821	925	1643	1514	737	718
RCAN3AS	2	1	0	0	3	5	0	0
RCAN3	28	36	20	13	50	21	24	14
NCMAP-DT	0	1	0	0	0	0	0	0
NCMAP	0	0	0	0	0	0	0	0
SRRM1	4147	5339	4124	3806	7669	6616	3258	2912
CLIC4	6578	9106	4891	4631	9012	7795	4062	3241
LOC105376876	0	3	0	1	3	3	2	0
RUNX3	9806	14551	8564	9019	15870	15152	7891	6814
MIR6731	0	0	0	0	0	0	0	0
LOC107984932	0	0	0	2	0	0	0	0
LOC105376878	179	245	105	105	209	174	135	77
MIR4425	2	1	2	0	0	4	2	0
LINC02793	316	382	198	202	430	360	164	160
SYF2	1859	2733	1401	1242	2449	1976	1002	1007
RSRP1	8259	11783	5518	5369	10616	8730	4702	4052
LOC105376882	1	3	4	0	0	1	0	2
RHD	8	5	6	5	9	2	2	4
TMEM50A	1980	2887	1687	1756	2870	2766	1215	1230
RHCE	36	35	28	25	48	41	20	22
MACO1	1558	2342	1348	1273	2510	2212	1184	916
LDLRAP1	1697	2495	1448	1433	2924	2471	1346	1215
MAN1C1	660	896	294	262	680	472	338	252
SELENON	304	435	208	234	416	466	207	164
MTFR1L	1411	1907	1017	996	1972	1773	941	777
LOC646471	10	14	5	1	13	18	6	6
AUNIP	221	221	208	247	424	335	169	179
PAQR7	385	664	350	358	671	602	282	305
STMN1	5660	7221	4966	3780	8535	7208	3770	2905
MIR3917	0	0	0	0	0	0	0	0
LOC105376885	0	0	0	0	0	0	0	0
PAFAH2	616	781	399	417	746	707	351	318
LOC101928216	0	1	1	1	3	1	2	0
EXTL1	1	0	0	0	0	0	1	0
SLC30A2	0	0	0	0	0	0	0	0
LOC105376910	0	0	0	0	0	0	0	0
TRIM63	1	1	0	0	0	1	1	0
PDIK1L	762	944	566	465	1060	870	439	405
LOC105376886	3	1	1	3	6	8	3	1
FAM110D	0	0	0	0	0	0	0	1
C1orf232	0	0	0	1	0	0	0	0
ZNF593	288	482	375	365	541	605	276	301
CNKSR1	278	437	173	157	305	352	170	172
CATSPER4	0	1	2	0	2	2	0	1
LOC101928303	0	0	0	2	1	1	0	0
CEP85	589	875	532	533	1049	957	445	386
SH3BGRL3	2193	2832	2195	1902	3637	4027	1714	1353
UBXN11	581	879	506	546	913	921	385	393
CD52	5766	7477	5877	4391	9610	7989	4209	3561
CRYBG2	0	4	0	2	9	0	0	0
ZNF683	0	0	0	0	0	0	0	0
LIN28A	0	0	0	0	0	0	0	0
DHDDS	1176	1770	1091	1095	2036	1774	859	863
DHDDS-AS1	148	227	124	89	211	193	87	75
HMGN2	13395	19268	10151	10059	19359	17152	7909	7356
RPS6KA1	4013	6201	3543	3682	6553	6251	3190	2983
MIR1976	0	0	0	0	0	0	0	0
LOC105376888	0	0	0	0	0	0	0	0
LOC101928728	24	38	18	25	46	39	17	16
ARID1A	9721	14300	8661	8703	16706	15196	7917	6514
PIGV	682	1025	514	425	984	894	408	393
ZDHHC18	1920	2790	1815	1922	3528	3399	1654	1516
SFN	30	23	24	25	65	62	19	15
GPN2	1495	2157	1337	1321	2345	2102	1073	964
GPATCH3	324	520	272	288	503	459	270	246
NUDC	2016	3106	2262	2433	4167	3743	1866	1847
NR0B2	0	0	0	0	0	0	0	0
KDF1	2	1	0	1	4	2	2	4
TRNP1	5	1	2	0	2	6	4	1
TENT5B	0	2	0	0	0	0	0	0
LOC101928391	11	18	5	6	22	17	7	2
SLC9A1	1088	1600	890	1007	1760	1775	860	749
LOC102723760	0	0	0	0	0	0	0	0
LOC105376890	0	0	0	0	0	0	0	0
WDTC1	2460	3587	1813	1733	3257	3396	1468	1431
TMEM222	474	734	425	440	813	751	323	327
ACTG1P20	72	95	64	70	135	106	54	65
SYTL1	1289	1932	1074	976	1999	1904	967	730
MAP3K6	42	50	33	23	79	74	26	42
FCN3	0	5	0	2	0	1	0	0
CD164L2	0	2	0	0	2	1	2	1
GPR3	1	4	8	9	9	8	7	3
WASF2	8366	12204	6687	6145	12315	11668	5921	4804
LOC105376892	12	24	20	14	32	24	11	12
AHDC1	897	1296	1038	980	1738	1689	909	778
FGR	2089	3031	1530	1502	2985	2736	1336	1124
LINC02574	6	9	2	11	9	2	3	1
IFI6	3648	6882	3808	4168	6196	7364	3239	3162
FAM76A	355	510	304	310	478	441	216	209
STX12	1964	2660	1795	1717	3234	2659	1467	1290
PPP1R8	1632	2190	1550	1475	2925	2565	1265	1073
SCARNA1	0	0	0	0	0	0	0	0
THEMIS2	4612	6899	2767	2721	5123	5098	2479	2085
RPA2	2091	2851	1725	1574	3232	2781	1356	1197
SMPDL3B	51	56	47	31	79	75	45	34
XKR8	158	263	127	117	262	206	110	102
EYA3	2573	3512	2114	2245	4129	3589	1774	1696
PTAFR	1814	2517	1637	1224	3065	2704	1418	1036
DNAJC8	2672	3741	2697	2805	5158	4503	2355	2008
ATP5IF1	3129	4306	3834	2813	5584	5483	2405	2348
SESN2	1533	2087	1213	1256	2349	2309	1137	962
MED18	722	1002	626	527	1065	920	494	446
PHACTR4	2309	3315	1797	1971	3377	3010	1532	1358
SNHG3	2920	4101	3779	3801	6144	5676	2806	2704
RCC1	5402	7673	6533	6716	11273	10195	5124	4965
SNORA73A	35	32	157	7	63	43	39	58
SNORA73B	20	15	148	8	64	19	37	38
TRNAU1AP	1209	1971	1104	1059	2002	1904	869	858
SNHG12	1335	2086	1651	1578	3119	2724	1341	1259
SNORD99	0	0	0	0	0	0	0	0
SNORA61	0	0	0	0	0	0	0	0
SNORA44	0	0	0	0	0	0	0	0
SNORA16A	0	0	0	0	0	0	0	0
RAB42	165	220	191	155	379	293	170	145
TAF12	683	1096	735	697	1258	1134	518	509
LINC01715	31	58	44	40	45	65	31	24
RNU11	0	0	0	0	0	0	0	0
GMEB1	851	1201	817	770	1376	1204	747	546
YTHDF2	2666	3733	2486	2410	4549	3802	2002	1716
OPRD1	5	7	4	0	6	8	3	8
EPB41	3156	4341	2337	2316	4094	3725	1860	1770
TMEM200B	3	4	1	0	3	2	0	4
SRSF4	7226	10174	6768	6459	12523	10568	5464	4869
MECR	638	926	570	556	961	882	481	454
PTPRU	41	58	30	17	48	50	35	23
LINC01756	1	0	2	0	0	0	0	1
LOC107984933	0	0	0	0	1	0	0	0
LOC107984934	1	0	0	1	0	0	0	0
LINC01648	0	0	0	0	0	0	0	0
LOC105378617	0	0	1	1	0	0	0	0
LOC105378618	0	0	0	0	0	0	0	0
MATN1	15	19	16	15	27	16	15	15
MATN1-AS1	213	281	205	147	366	315	164	132
LAPTM5	31805	45053	28608	26990	53430	49971	26553	21992
MIR4420	0	0	0	0	0	0	0	0
LOC105378620	880	1260	855	899	1468	1316	674	697
LOC105378621	0	1	1	0	0	0	0	0
LINC01778	0	0	0	0	0	0	0	0
LOC400748	0	0	0	0	0	0	0	0
SDC3	27	44	26	10	28	37	16	20
PUM1	6171	9022	5609	5585	9723	8978	4600	4237
SNORD103A	0	0	0	0	0	0	0	0
SNORD103B	0	0	0	0	0	0	0	0
SNORD103C	0	0	0	0	0	0	0	0
LOC107984935	0	0	2	1	1	1	0	3
NKAIN1	3	7	7	2	9	8	7	1
SNRNP40	1842	2423	2036	1966	3609	3030	1643	1401
ZCCHC17	1227	1749	1035	1143	2070	1727	852	796
FABP3	57	48	86	63	120	130	61	53
LOC105378623	0	0	2	2	0	1	0	0
LOC107985470	5	0	1	0	6	0	0	0
SERINC2	563	851	645	568	1187	1224	542	481
LOC105378625	1	0	0	0	0	0	0	0
LOC105379772	3	3	0	1	1	1	1	0
LDC1P	257	479	249	292	445	470	248	231
LINC01226	326	554	407	317	638	597	347	249
LOC105378626	0	4	0	1	1	3	0	1
TINAGL1	10	17	2	9	22	18	10	8
HCRTR1	0	1	0	0	1	0	0	0
PEF1	1207	1746	1002	1019	1881	1829	933	709
PEF1-AS1	31	12	16	8	21	17	7	11
LOC105378628	0	0	0	0	0	0	0	0
COL16A1	42	63	26	25	61	50	34	22
LOC101929444	0	0	0	0	0	0	0	0
ADGRB2	14	16	13	2	22	19	12	9
MIR4254	0	0	0	0	0	0	0	0
SPOCD1	3	6	0	2	8	0	5	1
PTP4A2	6730	9868	6035	5246	10355	8975	4825	3854
KHDRBS1	6580	9200	6265	5943	11746	10689	5117	4450
TMEM39B	841	1306	701	694	1287	1276	597	550
MIR5585	0	0	0	0	0	0	0	0
KPNA6	3285	4945	2858	3146	5478	4996	2566	2226
TXLNA	4156	6164	3709	3954	6911	6263	3207	2969
CCDC28B	1181	1667	1165	1244	2132	2081	931	948
IQCC	127	168	115	111	231	199	95	101
DCDC2B	3	3	8	8	10	2	1	5
TMEM234	349	537	283	258	480	436	215	202
EIF3I	4787	6605	4012	4710	8500	7256	3861	3384
MTMR9LP	203	315	191	190	385	316	145	134
FAM167B	48	73	27	58	91	102	39	47
LCK	4810	6698	5488	5561	10703	10111	4889	4419
HDAC1	6512	9448	6903	7253	12717	11527	5929	5536
MARCKSL1	2708	4078	3819	4120	6743	7731	3195	2965
LOC105378629	11	13	6	9	16	16	6	10
FAM229A	63	125	34	41	55	96	48	46
TSSK3	1	4	3	3	3	4	1	6
BSDC1	2050	2851	1330	1352	2484	2231	1202	1032
ZBTB8B	5	5	2	3	10	8	0	1
ZBTB8A	107	166	96	90	164	140	69	72
LOC102723870	33	75	39	44	67	97	38	31
ZBTB8OS	3198	5007	3150	3103	5859	5280	2476	2260
RBBP4	6451	8804	5863	5485	10930	9433	4973	4068
SYNC	8	6	0	6	3	0	1	6
KIAA1522	2	7	5	0	0	9	7	2
YARS1	6025	8418	5223	5129	9283	8199	4236	4062
S100PBP	4906	7588	4483	4301	8918	8334	3565	3140
FNDC5	0	2	0	0	5	3	0	1
LOC105378631	17	20	20	22	44	37	21	15
HPCA	11	5	4	10	16	12	7	6
TMEM54	3	3	1	5	4	6	1	3
LOC105378632	0	0	0	0	0	1	0	0
RNF19B	825	1267	629	545	1079	997	523	435
AK2	5935	7768	6250	6181	11077	9557	5097	4620
LOC105378635	3	0	0	0	0	1	0	0
AZIN2	347	524	247	204	369	336	168	177
LOC112268224	1	11	6	4	2	6	4	7
TRIM62	267	410	187	202	368	335	175	193
ZNF362	338	452	236	254	476	387	191	222
A3GALT2	3	3	5	1	3	2	1	6
PHC2	892	1204	791	739	1611	1297	692	652
MIR3605	0	0	0	0	0	0	0	0
LOC101929464	47	49	38	28	61	56	31	23
ZSCAN20	555	801	524	533	850	797	461	397
CSMD2	22	10	17	12	29	24	7	4
LOC105378638	0	0	0	0	0	0	0	0
HMGB4	0	0	0	0	0	0	0	0
CSMD2-AS1	0	0	0	0	0	0	0	0
C1orf94	0	1	0	0	0	1	0	0
LOC105378639	0	0	0	3	2	0	4	2
LOC105378640	0	0	0	0	1	0	0	0
LOC105378641	0	5	3	3	5	6	2	0
MIR552	0	0	0	0	0	0	0	0
LOC105378642	17	29	17	9	30	46	12	12
GJB5	0	0	0	0	0	0	0	0
GJB4	0	0	1	0	0	0	0	1
GJB3	0	0	1	0	0	0	0	0
GJA4	0	0	0	0	1	0	1	0
SMIM12	698	1081	695	696	1091	1033	502	544
DLGAP3	24	35	13	12	26	39	14	12
LOC653160	157	238	118	132	227	221	100	98
TMEM35B	326	547	304	305	611	626	259	229
ZMYM6	2242	3196	1563	1464	2909	2563	1319	1101
ZMYM1	165	273	132	128	274	274	122	109
LOC105378644	8	5	7	8	15	12	7	3
SFPQ	15474	21295	12165	12130	22533	20585	9890	8769
ZMYM4-AS1	0	7	9	6	3	3	3	0
ZMYM4	3293	4290	2687	2626	5185	4357	2443	1879
KIAA0319L	2514	3581	1997	1986	3920	3560	1774	1542
NCDN	888	1286	725	835	1432	1374	694	632
TFAP2E	136	180	100	82	156	163	101	69
LOC105378645	133	202	106	102	209	179	129	71
PSMB2	2895	3816	2980	2823	5309	5059	2317	2005
LOC105378646	0	0	0	0	0	0	0	0
C1orf216	407	581	372	417	732	622	348	309
CLSPN	1331	1668	1529	1540	2916	2337	1331	1087
AGO4	1188	1783	797	704	1294	1141	618	527
AGO1	1702	2602	1530	1764	2989	2818	1336	1331
AGO3	1548	2227	1241	1237	2428	2112	1132	940
LOC105378647	65	98	46	33	90	97	35	28
TEKT2	1	0	0	0	2	1	0	2
ADPRHL2	820	1129	826	771	1599	1302	701	598
COL8A2	1	8	0	4	5	3	0	3
TRAPPC3	1189	1795	1174	1124	2037	1778	923	825
MAP7D1	2713	4181	2653	2719	4946	4731	2284	2176
THRAP3	8205	11618	7140	7225	13379	11671	6246	5554
SH3D21	788	1034	655	423	1304	1027	592	434
EVA1B	189	331	144	143	303	266	104	93
STK40	3639	5575	2847	2933	5155	5180	2552	2232
LSM10	861	1290	725	830	1339	1409	654	539
OSCP1	33	49	32	17	48	40	11	16
SNORA63C	0	0	0	0	0	0	0	0
LOC107984940	19	16	7	14	34	30	8	7
MRPS15	1742	2255	1885	1568	3206	2805	1402	1164
CSF3R	10	18	18	10	19	32	12	9
LOC107984941	0	0	0	0	0	0	0	0
LOC105378648	0	0	0	0	0	0	0	0
GRIK3	1	2	4	2	2	1	3	4
MIR4255	0	0	0	0	0	0	0	0
LOC107984942	0	0	0	0	0	2	1	2
LINC01137	65	81	48	41	92	85	49	35
ZC3H12A	961	1360	729	865	1465	1474	693	603
MIR6732	0	0	0	0	0	0	0	0
MEAF6	1317	1892	1078	1021	2037	1858	908	672
MIR5581	0	0	0	0	0	0	0	0
LOC105378649	18	23	13	15	24	21	11	8
SNIP1	783	1135	618	641	1217	1046	560	485
DNALI1	4	9	1	2	4	4	2	1
GNL2	1706	2330	1744	1613	2959	2552	1348	1295
RSPO1	0	0	1	0	0	0	0	0
C1orf109	601	802	512	541	1002	807	448	356
CDCA8	2413	3183	1900	1670	3436	2938	1577	1338
EPHA10	2	5	7	2	4	3	6	3
LOC105378650	0	0	0	0	0	0	0	0
MANEAL	124	210	111	123	257	222	84	94
YRDC	371	694	389	353	1092	877	346	274
C1orf122	389	644	302	359	778	789	292	288
MTF1	1193	1690	1030	1047	1940	1640	910	747
INPP5B	4623	6927	4018	4075	7748	7184	3488	3064
LOC105378651	2	2	3	3	1	3	1	1
SF3A3	2596	3583	2717	2646	4486	3953	1991	1933
FHL3	501	734	500	477	782	885	424	413
UTP11	806	1046	765	828	1421	1305	651	647
POU3F1	67	120	69	47	121	113	51	29
LOC107985103	36	83	15	21	54	59	26	14
MIR3659HG	103	153	78	83	118	138	65	60
MIR3659	0	0	0	0	0	0	0	0
LINC02786	0	0	0	0	0	0	0	0
LOC105378654	3	4	13	1	3	2	6	6
LINC01343	0	0	0	0	0	0	0	0
LOC105378657	70	117	51	50	159	106	34	47
LOC107984943	10	9	3	9	19	18	2	6
LINC01685	14	33	17	11	14	37	12	15
LOC105378658	0	0	0	0	0	0	0	0
LOC105378660	55	108	28	18	66	48	19	27
RRAGC	765	979	737	669	1306	1085	544	474
MYCBP	1027	1309	914	790	1862	1389	705	548
GJA9-MYCBP	1027	1311	916	792	1863	1390	705	548
LOC105378663	33	61	24	22	33	36	29	8
GJA9	0	0	0	0	0	0	0	0
RHBDL2	1	6	0	0	0	3	1	0
LOC105378662	14	21	12	12	22	28	13	8
AKIRIN1	2711	3395	2643	2480	4779	4188	2093	1795
NDUFS5	2104	3360	2532	1858	3939	3486	1605	1643
MACF1	23303	31575	20314	19069	38083	31363	18832	14848
KIAA0754	303	486	313	266	507	446	224	252
LOC105378950	0	0	0	2	0	3	2	0
BMP8A	203	210	161	145	289	255	138	105
OXCT2P1	39	24	31	27	55	51	25	10
PPIEL	1006	1464	752	763	1496	1307	634	580
PABPC4	10577	15713	7612	7315	15354	13894	6787	5679
PABPC4-AS1	6	17	7	2	16	25	4	28
SNORA55	0	0	0	0	0	0	0	0
HEYL	8	2	1	2	2	4	1	1
NT5C1A	38	43	88	102	198	161	89	79
HPCAL4	11	10	8	13	15	13	14	4
PPIE	1930	2554	1446	1439	2852	2469	1322	1135
BMP8B	359	469	243	230	478	410	205	186
OXCT2	73	77	52	42	91	103	54	39
BMP8B-AS1	0	0	0	0	0	0	0	0
LOC101929536	12	16	14	3	15	13	7	10
LOC105378951	100	162	84	71	129	115	55	50
LINC02811	28	41	21	35	38	33	22	13
LOC105378665	18	20	1	5	17	16	3	4
LOC105378667	0	0	1	0	0	0	0	0
TRIT1	1319	1971	1285	1276	2332	2142	1170	965
MYCL	49	71	57	50	100	71	38	34
MYCL-AS1	1	0	1	0	0	0	1	1
MFSD2A	360	537	509	631	786	852	455	426
LOC105378669	7	24	12	15	14	19	12	15
CAP1	10098	14186	9898	10200	18220	16288	8550	7677
PPT1	1906	2592	1671	1761	3219	2838	1478	1357
LOC105378671	3	1	10	1	2	5	2	0
RLF	3583	5280	3815	3513	6832	5821	3186	2659
TMCO2	1	0	2	0	4	3	3	1
ZMPSTE24	1252	1685	1149	1304	2087	2013	969	801
COL9A2	2365	3411	1949	1766	3419	3261	1634	1380
LOC107984945	10	23	14	5	22	14	7	3
SMAP2	8055	11909	6457	6046	11956	10838	5366	4530
ZFP69B	359	495	285	268	563	423	226	203
ZFP69	206	266	139	157	319	272	149	102
LOC105378672	406	509	304	276	448	410	248	198
EXO5	243	309	215	213	403	255	156	141
ZNF684	205	299	184	190	385	294	168	180
LOC105378673	0	0	1	1	1	0	0	0
RIMS3	559	663	477	440	836	737	374	340
LOC105378675	0	1	1	0	0	3	3	0
LOC105378674	0	0	1	0	0	0	0	1
NFYC-AS1	192	233	213	151	344	270	148	137
NFYC	4039	5726	3193	3065	6083	5413	2727	2320
MIR30E	0	0	0	0	0	0	0	0
MIR30C1	0	0	0	0	0	0	0	0
KCNQ4	67	78	67	65	110	102	57	43
LOC105378676	0	0	0	0	0	0	1	0
CITED4	1	7	1	1	7	6	1	0
CTPS1	1467	2041	1909	2002	3334	2762	1521	1325
SLFNL1-AS1	307	442	273	359	508	446	244	275
SLFNL1	60	81	68	45	77	93	39	47
SCMH1	4698	6508	4657	5073	9111	8129	4188	3817
FOXO6	6	10	14	7	13	21	10	5
FOXO6-AS1	0	0	0	0	0	0	0	0
LOC105378678	0	0	0	0	0	0	0	2
EDN2	9	7	13	4	12	9	5	3
HIVEP3	533	713	499	459	886	950	467	390
GUCA2B	0	0	0	0	0	0	0	0
GUCA2A	0	0	0	0	0	0	0	0
FOXJ3	3134	4342	2611	2426	4717	4548	2198	1718
RIMKLA	349	459	404	224	719	530	328	186
ZMYND12	40	49	29	20	37	32	25	9
CCDC30	1543	2085	1175	1054	2247	1969	975	780
PPCS	1009	1381	821	741	1537	1276	651	508
PPIH	1637	2338	1534	1454	2792	2481	1292	1055
YBX1	23140	31740	21120	20402	41344	33979	18328	15833
CLDN19	0	1	0	0	0	0	0	0
P3H1	916	1206	842	911	1670	1426	749	670
C1orf50	566	778	482	422	826	705	326	312
TMEM269-DT	2	3	0	0	1	0	0	1
TMEM269	30	38	12	31	42	68	21	18
LOC107984946	1	2	4	0	1	1	2	0
SVBP	230	346	209	142	324	312	142	132
ERMAP	619	836	433	411	768	715	350	270
ZNF691	442	544	383	394	654	602	314	265
LOC339539	25	25	18	19	47	36	16	8
SLC2A1	2323	3511	2180	2565	4342	4353	2104	1952
SLC2A1-AS1	200	265	179	147	286	297	149	146
FAM183A	0	0	0	0	0	0	0	0
EBNA1BP2	1410	2134	1442	1772	2966	2545	1423	1261
MIR6733	0	0	0	0	0	0	0	0
CFAP57	538	773	419	445	853	604	366	331
LOC105378685	7	14	9	9	19	15	5	6
TMEM125	4	0	1	0	1	1	3	0
C1orf210	0	0	0	0	1	1	0	3
TIE1	371	488	328	314	546	553	294	247
MPL	0	2	0	2	0	0	0	0
LOC105378687	20	39	14	14	36	25	12	14
CDC20	2537	3490	2021	2172	3904	3542	1629	1666
ELOVL1	1374	1994	1179	1173	2008	2141	887	838
MIR6734	0	0	0	0	0	0	0	0
LOC112268225	95	107	51	58	116	79	29	28
MED8	1055	1523	903	824	1788	1525	743	653
MED8-AS1	2	5	2	2	1	3	1	1
SZT2	4407	6212	3591	3467	6768	6099	3204	2684
SZT2-AS1	2	5	2	6	5	4	2	0
MIR6735	0	0	0	0	0	0	0	0
HYI	259	421	227	206	411	395	173	148
PTPRF	55	59	45	37	96	72	37	29
KDM4A	2462	3659	2151	2061	3810	3473	1775	1573
KDM4A-AS1	54	86	75	79	122	101	72	52
LOC101929592	0	0	1	0	5	1	2	1
MIR6079	6	15	7	10	11	12	7	4
ST3GAL3	960	1501	907	953	1851	1587	863	753
ARTN	19	20	8	15	34	25	21	14
LOC105378688	87	114	128	66	157	147	62	61
LOC101929609	80	115	67	56	127	100	69	56
IPO13	860	1252	820	869	1523	1380	750	624
DPH2	747	1070	706	841	1301	1267	625	648
ATP6V0B	1105	1567	1198	1219	2209	1962	921	877
B4GALT2	582	769	610	684	1163	994	548	485
CCDC24	58	65	63	48	77	78	38	26
SLC6A9	408	652	260	308	530	553	244	183
LOC107984948	12	11	12	5	12	9	6	3
KLF17	9	9	1	2	8	2	3	1
KLF18	0	0	0	0	1	2	0	0
DMAP1	1168	1698	898	1015	1797	1440	785	734
ERI3	2538	3722	2204	2296	3891	3253	1931	1865
ERI3-IT1	8	31	11	16	20	25	11	8
SNORA110	0	0	0	0	0	0	0	1
LOC107984951	0	0	0	0	0	0	0	0
MIR5584	0	0	0	0	0	0	0	0
RNF220	1671	2635	1591	1551	2731	2506	1331	1129
LOC107984950	104	139	91	105	148	151	84	77
TMEM53	195	282	221	232	424	389	165	173
SNORD145	0	0	0	0	0	0	0	0
ARMH1	579	784	646	636	1164	1055	571	467
LOC105378690	82	180	108	95	168	194	83	71
RNU5F-1	0	0	0	0	0	0	0	0
RNU5D-1	14	11	18	9	13	31	4	5
KIF2C	3317	4643	2695	2488	4895	4048	2264	1999
SNORD160	0	0	0	0	0	0	0	0
RPS8	38741	56318	32339	31880	61909	54626	26391	23489
SNORD55	0	0	0	0	0	0	0	0
SNORD46	0	0	0	0	0	0	0	0
SNORD38A	0	0	0	0	0	0	0	0
SNORD38B	0	0	0	0	0	0	0	0
BEST4	18	25	1	9	31	16	20	13
PLK3	281	372	332	320	632	604	268	272
TCTEX1D4	4	6	3	2	9	6	2	1
BTBD19	77	106	151	129	219	211	112	85
LOC107984952	2	9	0	6	19	9	5	1
PTCH2	27	47	37	26	75	34	22	17
EIF2B3	1532	2096	1493	1724	2776	2372	1311	1230
HECTD3	1292	1974	972	1123	1903	1830	872	851
UROD	1099	1489	1044	943	1724	1549	837	779
ZSWIM5	10	30	13	24	26	24	19	11
LOC105378691	26	53	23	9	41	48	18	13
LINC01144	28	46	13	18	24	27	13	16
HPDL	51	70	98	83	145	154	70	66
MUTYH	807	1268	645	678	1136	973	560	475
TOE1	359	545	389	353	678	546	342	251
TESK2	1951	3024	1465	1525	2716	2559	1333	1200
CCDC163	234	328	155	152	301	249	140	91
MMACHC	380	493	378	369	616	571	265	256
PRDX1	7979	11348	8484	9444	16039	12824	7563	7207
AKR1A1	2614	3751	2898	2619	4918	4387	2311	2012
NASP	6721	8545	6363	5774	11886	9590	5147	4482
CCDC17	169	338	126	130	285	221	142	114
GPBP1L1	5290	7587	4278	4164	8388	7114	3758	3166
RPS15AP10	43	70	50	37	66	51	45	22
TMEM69	1024	1316	914	848	1570	1519	716	606
IPP	851	1205	675	586	1186	935	532	436
LOC105378693	0	1	3	1	3	4	3	1
LOC105378694	3	1	1	5	5	4	0	5
MAST2	1622	2159	1677	1652	3305	2851	1539	1290
PIK3R3	2776	3632	2611	2431	4835	3965	2049	1759
LOC110117498-PIK3R3	2784	3651	2629	2444	4856	3977	2056	1767
LOC101929626	14	13	20	10	25	17	11	18
TSPAN1	32	39	20	21	55	25	24	18
P3R3URF	0	0	0	0	0	0	0	0
POMGNT1	650	926	644	591	1078	1014	503	491
LURAP1	9	9	14	10	22	21	10	5
RAD54L	1381	1923	1451	1234	2749	2338	1204	1028
LRRC41	3346	5090	3855	4051	7489	7355	3510	3060
UQCRH	5993	8117	6773	5098	10509	8867	4486	3953
NSUN4	1604	2406	1593	1606	2864	2574	1415	1232
FAAH	99	170	88	113	164	176	99	66
FAAHP1	0	4	0	4	1	4	1	0
LINC01398	0	0	0	0	0	0	0	0
DMBX1	0	0	0	0	0	0	0	2
TMEM275	0	0	0	0	0	0	0	0
MKNK1-AS1	4	3	0	1	2	4	0	0
KNCN	0	0	0	0	3	0	0	0
MKNK1	1657	2284	1413	1284	2535	2390	1197	1039
MOB3C	843	1278	693	709	1400	1103	653	556
LOC105378697	1	2	0	2	5	2	0	1
ATPAF1	1841	2584	1553	1482	2984	2571	1307	1068
TEX38	2	2	2	0	5	8	1	3
EFCAB14-AS1	0	1	1	5	4	16	5	7
EFCAB14	3901	5283	3094	3083	5970	5322	2768	2326
LOC105378698	40	32	24	14	55	31	22	21
LOC105378699	0	0	0	0	0	0	1	0
CYP4B1	1	1	0	1	0	2	1	2
CYP4Z2P	1	2	2	0	0	0	0	0
CYP4A11	0	0	0	0	0	0	0	0
CYP4X1	1	2	1	1	3	6	0	4
CYP4Z1	0	3	0	0	1	0	0	0
CYP4A22	0	0	0	0	0	0	0	0
LOC105378701	25	24	12	11	13	28	8	7
LINC00853	1	2	2	0	2	1	0	0
PDZK1IP1	3	0	0	0	2	0	0	0
TAL1	0	0	0	0	0	0	1	0
STIL	2365	2988	2109	1964	4131	3285	1859	1416
CMPK1	3870	5140	3855	3397	6991	5840	3090	2414
LINC01389	226	314	229	205	365	367	199	161
FOXE3	0	0	0	0	0	0	0	3
FOXD2-AS1	75	106	64	72	133	132	66	61
FOXD2	8	3	6	1	4	7	2	0
LINC01738	0	0	0	0	0	0	0	0
TRABD2B	2	0	2	0	2	1	0	0
LINC02794	4	6	7	10	12	15	4	10
SKINT1L	0	68	12	5	3	3	2	6
